0	32	1
0	48	1
0	112	1
0	208	1
0	255	2
16	32	1
16	48	2
16	128	1
16	144	1
16	192	1
16	208	1
16	224	1
16	240	1
32	96	2
32	144	2
32	192	2
32	208	2
48	16	3
48	32	1
48	80	1
48	96	2
48	128	1
48	144	1
48	160	1
48	176	2
48	192	1
64	16	1
64	32	1
64	96	1
64	128	1
64	160	1
64	176	1
64	208	1
64	224	1
64	240	1
80	16	3
80	32	5
80	48	1
80	96	1
80	112	1
80	160	2
80	176	1
80	208	1
80	240	1
80	255	1
96	48	2
96	96	2
96	112	2
96	192	1
112	32	1
112	128	2
112	144	3
112	176	1
112	208	1
112	224	1
112	255	1
128	32	2
128	96	2
128	144	1
128	208	1
144	48	1
144	96	1
144	112	2
144	128	1
144	160	1
144	176	1
144	192	1
144	240	1
160	48	3
160	80	1
160	96	1
160	112	1
160	144	1
160	160	1
160	176	1
160	208	2
160	240	1
176	16	1
176	48	3
176	64	1
176	80	1
176	96	1
176	112	1
176	144	1
176	160	1
176	176	1
176	208	3
176	224	1
176	240	1
192	48	1
192	64	1
192	112	1
192	128	2
192	176	3
192	192	1
208	64	1
208	112	1
208	144	1
208	192	1
224	96	1
224	128	1
224	144	1
224	160	2
224	176	2
224	192	1
240	96	1
240	112	1
240	144	1
240	176	1
240	240	1
240	255	2
255	16	2
255	80	1
255	96	1
255	112	1
255	128	1
255	160	1
255	176	1
255	208	1
255	240	1
